reports,event_date
178,9/28/2022
163,9/29/2022
187,9/30/2022
270,10/1/2022
196,10/2/2022
218,10/3/2022
201,10/4/2022
167,10/5/2022
220,10/6/2022
235,10/7/2022
213,10/8/2022
220,10/9/2022
206,10/10/2022
208,10/11/2022
172,10/12/2022
194,10/13/2022
190,10/14/2022
226,10/15/2022
182,10/16/2022
197,10/17/2022
176,10/18/2022
150,10/19/2022
167,10/20/2022
210,10/21/2022
193,10/22/2022
186,10/23/2022
158,10/24/2022
193,10/25/2022
181,10/26/2022
181,10/27/2022
178,10/28/2022
212,10/29/2022
166,10/30/2022
202,10/31/2022
212,11/1/2022
178,11/2/2022
188,11/3/2022
177,11/4/2022
199,11/5/2022
192,11/6/2022
219,11/7/2022
177,11/8/2022
142,11/9/2022
176,11/10/2022
206,11/11/2022
185,11/12/2022
170,11/13/2022
167,11/14/2022
130,11/15/2022
175,11/16/2022
175,11/17/2022
179,11/18/2022
149,11/19/2022
153,11/20/2022
143,11/21/2022
152,11/22/2022
181,11/23/2022
185,11/24/2022
171,11/25/2022
188,11/26/2022
152,11/27/2022
192,11/28/2022
152,11/29/2022
152,11/30/2022
176,12/1/2022
152,12/2/2022
168,12/3/2022
160,12/4/2022
140,12/5/2022
131,12/6/2022
125,12/7/2022
119,12/8/2022
154,12/9/2022
150,12/10/2022
167,12/11/2022
147,12/12/2022
147,12/13/2022
136,12/14/2022
156,12/15/2022
129,12/16/2022
150,12/17/2022
150,12/18/2022
139,12/19/2022
123,12/20/2022
163,12/21/2022
158,12/22/2022
125,12/23/2022
122,12/24/2022
132,12/25/2022
143,12/26/2022
141,12/27/2022
156,12/28/2022
140,12/29/2022
167,12/30/2022
233,12/31/2022
233,1/1/2023
175,1/2/2023
158,1/3/2023
147,1/4/2023
122,1/5/2023
146,1/6/2023
148,1/7/2023
129,1/8/2023
174,1/9/2023
152,1/10/2023
135,1/11/2023
128,1/12/2023
160,1/13/2023
149,1/14/2023
149,1/15/2023
122,1/16/2023
131,1/17/2023
127,1/18/2023
124,1/19/2023
165,1/20/2023
155,1/21/2023
134,1/22/2023
107,1/23/2023
122,1/24/2023
133,1/25/2023
104,1/26/2023
129,1/27/2023
158,1/28/2023
